id,name,type,whoUsesIt,privacy,security,aiFeatures,platforms,uniqueStrength,summary,logo,website,newcomer
island,Island Enterprise Browser,Enterprise,"Security teams, enterprises","Policy controls with enterprise governance","Enterprise-grade controls for managed and unmanaged access","AI policy controls and governance","Windows, macOS, Linux, browser","Security-focused enterprise browser adoption","Enterprise browser built for secure SaaS access and control",https://www.island.io/,
surf,Surf Enterprise Browser,Enterprise,"IT and security teams","Centralized policy and access controls","Enterprise security posture for browser access","AI-aware browser governance","Windows, macOS, browser","Browser-level policy consistency across devices","Enterprise browser option for governing SaaS and AI usage",,
cometenterprise,Comet Enterprise Browser,Enterprise,"Security and operations teams","Managed privacy controls for enterprise workflows","Policy-based enterprise browser hardening","AI-enabled browsing and workflow assistance","Windows, macOS, browser","Enterprise-focused AI browser workflows","Emerging enterprise browser combining AI workflows with governance",,
chromeenterprise,Chrome Enterprise,Enterprise,"Large enterprises, IT-administered organizations","Google enterprise policy controls","Managed browser security via admin policies and updates","Google AI capabilities with admin controls","Windows, macOS, Linux, ChromeOS","Familiar browser with broad policy management","Enterprise-managed Chrome deployment with wide compatibility",https://chromeenterprise.google/browser/
atlastopenai,Atlast Browser by OpenAI,Consumer,"AI-first users and teams","AI privacy controls and account-level safeguards","Security posture expected to evolve with enterprise controls","Deep native AI assistant workflows",TBD,"Potentially tight AI + browser workflow integration","OpenAI-linked browser concept to watch",https://openai.com/,yes
arc,Arc Browser,Consumer,"Power users, creators, startup teams","Standard Chromium privacy controls with workspace focus","Frequent updates, Chromium security model","AI features for tab and workflow assistance","macOS, Windows","Workspace-first design with command bar and split workflows","Productivity-centric browser focused on organizing web work",https://arc.net/,yes
firefoxenterprise,Firefox Enterprise Browser,Enterprise,"IT admins, security-focused organizations","Enterprise policy controls with privacy-first defaults","Rapid patching, hardened policy configuration options","Limited native AI; extension-based options","Windows, macOS, Linux","Strong privacy posture with enterprise policy management","Enterprise-manageable Firefox deployment focused on privacy and control",https://www.mozilla.org/firefox/enterprise/
microsoftedgebusiness,Microsoft Edge for Business,Enterprise,"IT-administered organizations, Microsoft-centric teams","Enterprise controls with M365 and Intune policy integration","Managed security baselines, SmartScreen, and rapid patching","Copilot and enterprise AI controls","Windows, macOS, Linux, iOS, Android","Deep Microsoft ecosystem integration for managed browsing","Enterprise-managed Edge with strong policy and identity integration",https://www.microsoft.com/edge/business
seraphic,Seraphic Enterprise Browser,Enterprise,"Security teams and regulated enterprises","Policy-driven privacy and browser isolation controls","Zero-trust browser security for managed and unmanaged devices","AI-aware browser threat protection","Windows, macOS, Linux, browser","Security enforcement directly in browser sessions","Enterprise browser security platform focused on SaaS and web protection",
menloenterprise,Menlo Security Enterprise Browser,Enterprise,"Security-focused enterprises and distributed workforces","Isolation-first approach to reduce web risk exposure","Remote browser isolation and enterprise policy enforcement","AI and web threat risk visibility","Windows, macOS, Linux, browser","Strong isolation architecture for risky web sessions","Enterprise browsing security centered on isolation and policy control",https://www.menlosecurity.com/
netskopebrowser,Netskope Enterprise Browser,Enterprise,"Zero-trust enterprises and security operations teams","Data-centric controls aligned with SSE and DLP policies","Browser controls integrated with cloud security stack","AI app governance and browser risk controls","Windows, macOS, Linux, browser","Unified browser controls with SSE policy posture","Enterprise browser capabilities integrated with Netskope security platform",https://www.netskope.com/
citrixbrowser,Citrix Enterprise Browser,Enterprise,"IT teams managing hybrid and contractor access","Policy-based controls across managed and unmanaged devices","Enterprise browser isolation and access controls","Workflow-aware secure access features","Windows, macOS, Linux, browser","Strong fit for virtual app and secure access environments","Enterprise browser approach aligned with Citrix secure access workflows",https://www.citrix.com/
cyberarksecure,CyberArk Secure Browser,Enterprise,"Privileged access and security operations teams","Identity-centric privacy controls and session protections","Strong policy controls for high-risk and privileged sessions","AI-assisted risk visibility and policy workflows","Windows, macOS, browser","Tight alignment with identity and privileged access controls","Secure browser model focused on identity and privileged session protection",https://www.cyberark.com/
keepaware,Keep Aware Enterprise Browser,Enterprise,"Security teams and regulated organizations","Data-aware browsing policies and privacy controls","Enterprise policy enforcement across browser sessions","AI-aware browser governance capabilities","Windows, macOS, Linux, browser","Data protection focus within browser workflows","Enterprise browser option emphasizing awareness and control over data movement",
duckduckgo,DuckDuckGo Browser,Consumer,"Privacy-first consumers","Strong default privacy and tracker blocking","Basic browser security protections and frequent updates","Limited native AI features","Windows, macOS, iOS, Android","Simple privacy-focused browsing experience","Consumer browser centered on private search and anti-tracking defaults",https://duckduckgo.com/
